Time (days), Displacement_Real (cm), Displacement_Imag (cm)
0.000000,0.230804,-0.075615
1.000000,0.513701,-0.187640
2.000000,0.675493,-0.219313
3.000000,0.808359,-0.247556
4.000000,0.872630,-0.320867
5.000000,0.948339,-0.322600
6.000000,1.174999,-0.360353
7.000000,1.314108,-0.282392
8.000000,1.586653,-0.259220
9.000000,1.798243,-0.282957
10.000000,1.940632,-0.351753
11.000000,2.115354,-0.387189
12.000000,2.326821,-0.321027
13.000000,2.539222,-0.233639
14.000000,2.620965,-0.096458
15.000000,2.642897,0.122150
16.000000,2.597414,0.310296
17.000000,2.517685,0.551934
18.000000,2.386681,0.761207
19.000000,2.300191,1.108615
20.000000,2.298063,1.442552
21.000000,2.277272,1.703656
22.000000,2.300173,1.947472
23.000000,2.378011,2.112925
24.000000,2.458516,2.147918
25.000000,2.510845,2.205907
26.000000,2.517354,2.275903
27.000000,2.435704,2.388462
28.000000,2.341239,2.426714
29.000000,2.267767,2.400730
30.000000,2.187235,2.340283
31.000000,2.130767,2.209894
32.000000,2.083152,2.294476
33.000000,2.090520,2.398971
34.000000,2.049733,2.444366
35.000000,2.003916,2.517377
36.000000,1.980677,2.675979
37.000000,1.931344,2.870487
38.000000,1.907813,3.115476
39.000000,1.752969,3.373334
40.000000,1.647374,3.493219
41.000000,1.586587,3.544504
42.000000,1.531496,3.670676
43.000000,1.455083,3.769932
44.000000,1.353353,3.879252
45.000000,1.132996,4.019934
46.000000,1.016077,4.070352
47.000000,0.958135,4.130281
48.000000,0.823881,4.151783
49.000000,0.591218,4.060288
50.000000,0.351701,4.007095
51.000000,0.186219,3.895436
52.000000,0.099153,3.756557
53.000000,0.060609,3.530099
54.000000,0.083537,3.279810
55.000000,0.236363,3.086420
56.000000,0.246373,3.029712
57.000000,0.290767,2.893235
58.000000,0.326849,2.795735
59.000000,0.303134,2.746906
60.000000,0.335623,2.781297
61.000000,0.364604,2.907238
62.000000,0.481154,2.937961
63.000000,0.508788,2.970379
64.000000,0.470000,3.092340
65.000000,0.467525,3.243721
66.000000,0.398487,3.486064
67.000000,0.345144,3.796903
68.000000,0.266627,4.254565
69.000000,0.278123,4.471481
70.000000,0.321391,4.642779
71.000000,0.329908,4.772289
72.000000,0.289545,4.782327
73.000000,0.222550,4.752179
74.000000,0.342101,4.831943
75.000000,0.446541,4.908579
76.000000,0.525796,5.050220
77.000000,0.582641,5.301432
78.000000,0.748201,5.506890
79.000000,0.767633,5.661968
80.000000,0.868944,5.703156
81.000000,0.906479,5.719554
82.000000,0.919867,5.680601
83.000000,0.982966,5.628850
84.000000,0.969578,5.565046
85.000000,0.989506,5.452495
86.000000,1.001927,5.264500
87.000000,0.907886,5.065969
88.000000,0.837268,4.887432
89.000000,0.817053,4.658473
90.000000,0.846769,4.477814
91.000000,0.831060,4.303499
92.000000,0.815630,4.126154
93.000000,0.848508,4.034306
94.000000,0.918405,4.124771
95.000000,0.952348,4.270424
96.000000,0.887349,4.450588
97.000000,0.849053,4.613963
98.000000,0.838296,4.771558
99.000000,0.941335,4.957917
100.000000,0.917623,5.084922
101.000000,0.869503,5.087505
102.000000,0.858643,5.122139
103.000000,0.841180,5.100652
104.000000,0.978071,5.110842
105.000000,1.074298,5.057553
106.000000,0.983460,4.914998
107.000000,0.956199,4.680381
108.000000,0.826236,4.489247
109.000000,0.807604,4.463409
110.000000,0.821139,4.455115
111.000000,0.807482,4.484528
112.000000,0.721362,4.521965
113.000000,0.783228,4.573158
114.000000,0.862504,4.797514
115.000000,0.897424,4.941718
116.000000,0.876721,5.060241
117.000000,0.844412,5.116779
118.000000,0.909730,5.221679
119.000000,1.112642,5.335802
120.000000,1.298291,5.414435
121.000000,1.498421,5.541438
122.000000,1.703844,5.580662
123.000000,1.765610,5.625142
124.000000,1.832061,5.680475
125.000000,1.854703,5.848996
126.000000,1.842995,6.042020
127.000000,1.821046,6.219164
128.000000,1.583611,6.278465
129.000000,1.313487,6.221416
130.000000,1.125984,6.214249
131.000000,0.965416,6.155066
132.000000,0.781299,6.083362
133.000000,0.589049,5.953046
134.000000,0.333809,5.848799
135.000000,0.050370,5.771623
136.000000,-0.249974,5.833107
137.000000,-0.535746,6.025559
138.000000,-0.750071,6.279601
139.000000,-0.945583,6.591052
140.000000,-1.128493,6.784830
141.000000,-1.356882,7.056188
142.000000,-1.489881,7.230856
143.000000,-1.592501,7.268521
144.000000,-1.642752,7.540907
145.000000,-1.671717,7.811356
146.000000,-1.637133,8.006173
147.000000,-1.492002,8.183047
148.000000,-1.393169,8.348284
149.000000,-1.262905,8.341998
150.000000,-1.093911,8.282454
151.000000,-0.941659,8.268416
152.000000,-0.659995,8.258388
153.000000,-0.478789,8.124159
154.000000,-0.351415,7.965712
155.000000,-0.230300,7.811048
156.000000,-0.118739,7.677224
157.000000,-0.034561,7.429783
158.000000,0.005501,7.225108
159.000000,0.103813,7.154992
160.000000,0.188223,6.971673
161.000000,0.203880,6.838825
162.000000,0.346962,6.819748
163.000000,0.545081,6.831112
164.000000,0.836402,6.885730
165.000000,1.097987,6.899398
166.000000,1.478872,6.897826
167.000000,1.892729,6.810249
168.000000,2.131118,6.721860
169.000000,2.251589,6.600291
